trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
82,False,"{'a': 0.5, 'e': 0.19467587308039982}",20,6,22.70335860929522,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.5, 'e': 0.19078235561879184}",20,5,-4.829982108771984,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.186966708506416}",25,7,-81.59889983049307,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 2}",1
85,False,"{'a': 0.5, 'e': 0.18322737433628766}",25,7,-87.79409238749238,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
86,False,"{'a': 0.5, 'e': 0.1795628268495619}",20,0,-37.05154902918014,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
87,False,"{'a': 0.5, 'e': 0.17597157031257069}",20,3,2.5268613468823276,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.17245213890631925}",20,13,2.1153659717792674,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.16900309612819286}",20,0,-37.143625727078266,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
90,False,"{'a': 0.5, 'e': 0.16562303420562902}",20,0,-23.313793467542773,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.16231057352151643}",25,0,-38.19720177949318,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
92,False,"{'a': 0.5, 'e': 0.1590643620510861}",25,4,4.54003131218339,"{0: 17, 1: 3, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.15588307481006436}",20,0,-13.410739512848346,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
94,False,"{'a': 0.5, 'e': 0.1527654133138631}",20,0,27.842858267915915,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.1497101050475858}",35,12,21.44889117000677,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.14671590294663409}",20,11,-38.126447566880444,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.1437815848877014}",20,0,-23.94291980859245,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.1409059531899474}",20,11,15.084885380588554,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.13808783412614842}",20,15,2.8325929377503867,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.13532607744362546}",30,13,30.948926966498775,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.13261955589475294}",20,0,-90.03285085880655,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
102,False,"{'a': 0.5, 'e': 0.12996716477685788}",20,16,8.693443251977655,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.12736782148132073}",20,7,2.4796532436453793,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.12482046505169431}",20,11,16.02171887250742,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.12232405575066042}",20,0,17.487141117896332,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.11987757463564722}",25,13,-43.20682881456118,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
107,False,"{'a': 0.5, 'e': 0.11748002314293426}",20,13,-29.97274733839416,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
108,False,"{'a': 0.5, 'e': 0.11513042268007558}",20,14,10.959613642865152,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.11282781422647406}",20,0,-10.881354840498837,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
110,False,"{'a': 0.5, 'e': 0.11057125794194458}",20,8,-26.375214603065313,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 1}",1
111,False,"{'a': 0.5, 'e': 0.10835983278310568}",25,13,22.139406001958704,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.10619263612744358}",35,20,-50.93019122173654,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.1040687834048947}",25,15,9.043535823510895,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.1019874077367968}",25,13,23.581183007860957,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.09994765958206087}",20,11,15.7453843975378,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.09794870639041964}",30,18,8.128055084843293,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.09598973226261125}",25,9,-5.8374897058209605,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.09406993761735902}",20,12,15.628532092892739,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.09218853886501184}",25,11,-17.40538008695483,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.09034476808771161}",25,0,9.572731183273735,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.08853787272595737}",25,0,30.282176717554144,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.08676711527143822}",30,8,39.84359985102896,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.08503177296600946}",20,6,15.64750223998197,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.08333113750668926}",25,6,9.52202405854504,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.08166451475655548}",25,10,-25.763302351629967,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.08003122446142437}",25,14,19.913046861931686,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.07843059997219588}",30,13,30.722232713104038,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.07686198797275196}",30,19,17.140359437067627,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.07532474821329692}",20,14,13.981672744161548,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.07381825324903098}",20,2,-22.3467217789287,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.07234188818405035}",35,13,42.85402485782885,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.07089505042036935}",30,5,33.026961482284335,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.06947714941196197}",20,10,-23.582079438991755,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
134,False,"{'a': 0.5, 'e': 0.06808760642372272}",20,2,-24.879485535639365,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.5, 'e': 0.06672585429524826}",30,17,22.661431256848594,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.0653913372093433}",20,11,13.856510757784147,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.06408351046515644}",20,14,-10.382009584265852,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
138,False,"{'a': 0.5, 'e': 0.0628018402558533}",25,3,3.6255968085358887,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.061545803450736236}",30,15,23.374935109164905,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.060314887381721506}",20,6,20.76145151316114,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.05910858963408708}",20,0,26.513819167122808,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.057926417841405335}",20,10,19.09048424601545,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.05676788948457723}",25,10,8.047780875030144,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.05563253169488568}",35,22,26.08235514076863,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.054519881060987964}",25,7,33.74712307722448,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.5, 'e': 0.05342948343976821}",25,16,17.31126575102053,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.05236089377097284}",25,20,7.159270304578053,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.051313675895553384}",20,6,24.041244230410292,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.050287402377642315}",30,0,38.235230817813196,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.04928165433008947}",25,9,-7.036540939870147,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.048296021243487676}",25,8,-14.504701667878676,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.04733010081861792}",25,3,32.21985459103496,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.046383498802245564}",20,0,28.314314689235648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.04545582882620065}",30,8,13.473610166079439,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.044546712249676636}",30,8,19.215279201504696,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.04365577800468311}",20,12,12.205441847808203,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.04278266244458944}",20,10,18.418990088787165,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.041927009195697654}",25,0,26.543442176749977,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.041088469011783695}",25,20,11.561916934030577,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.040266699631548025}",30,20,19.274129907700075,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.03946136563891706}",30,19,22.3057702208109,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.03867213832613872}",20,8,19.668285737314047,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.5, 'e': 0.03789869555961595}",25,19,3.2632974405537833,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.03714072164842362}",20,6,-17.2323601804273,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
165,False,"{'a': 0.5, 'e': 0.036397907215455154}",20,15,11.82140586837502,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.03566994907114605}",25,0,-31.842335297866452,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
167,False,"{'a': 0.5, 'e': 0.03495655008972313}",20,10,19.826538020464692,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.5, 'e': 0.03425741908792866}",20,0,19.37447018273032,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.5, 'e': 0.03357227070617009}",20,14,11.452002080006293,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.5, 'e': 0.03290082529204669}",20,6,-8.90960971718435,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
171,False,"{'a': 0.5, 'e': 0.03224280878620575}",35,22,14.931166195805183,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
172,False,"{'a': 0.5, 'e': 0.031597952610481636}",20,5,-30.558927072035647,"{0: 12, 1: 0, 2: 1, 3: 2, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.030965993558272006}",30,4,45.04671033260574,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.5, 'e': 0.030346673687106564}",25,5,32.83995259899683,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.02973974021336443}",20,14,12.9194677233614,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.029144945409097144}",25,13,20.07042295713838,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
